"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that null values are dropped correctly.","705","test_drop_na_values","","Mon Apr 14 14:37:56 GMT 2025","passed","Mon Apr 14 14:37:57 GMT 2025","","test_customers","",""
"Test loading dates data.","30","test_load_dates_data","","Mon Apr 14 14:38:01 GMT 2025","passed","Mon Apr 14 14:38:01 GMT 2025","","test_dates","",""
"Test that load_order_lines_data correctly loads CSV data with the specified schema.","183","test_load_order_lines_data","","Mon Apr 14 14:38:05 GMT 2025","passed","Mon Apr 14 14:38:05 GMT 2025","","test_order_lines","",""
"Test renaming columns to lowercase.","47","test_rename_columns_to_lowercase","","Mon Apr 14 14:37:55 GMT 2025","passed","Mon Apr 14 14:37:55 GMT 2025","","test_customer_targets","",""
"Test normalizing column names.","240","test_normalize_column_names","","Mon Apr 14 14:38:10 GMT 2025","passed","Mon Apr 14 14:38:10 GMT 2025","","test_products","",""
"Test that metrics are correctly transformed according to the rules.","167","test_transform_metrics[input_data1-expected_output1]","","Mon Apr 14 14:38:03 GMT 2025","passed","Mon Apr 14 14:38:04 GMT 2025","","test_order_fulfillment","",""
"Test cleaning and transforming customer targets data.","616","test_clean_customer_targets_data","","Mon Apr 14 14:37:55 GMT 2025","passed","Mon Apr 14 14:37:56 GMT 2025","","test_customer_targets","",""
"Test that rows with null values are correctly dropped.","271","test_drop_null_values","","Mon Apr 14 14:38:04 GMT 2025","passed","Mon Apr 14 14:38:04 GMT 2025","","test_order_fulfillment","",""
"Test that columns are renamed correctly to lowercase and 'on.time' becomes 'on_time'.","250","test_rename_columns","","Mon Apr 14 14:38:03 GMT 2025","passed","Mon Apr 14 14:38:03 GMT 2025","","test_order_fulfillment","",""
"Test that all column names are converted to lowercase.","25","test_rename_columns_to_lowercase","","Mon Apr 14 14:37:58 GMT 2025","passed","Mon Apr 14 14:37:58 GMT 2025","","test_customers","",""
"Test cleaning special characters from the 'date' and 'mmm_yy' columns.","311","test_clean_special_characters","","Mon Apr 14 14:38:01 GMT 2025","passed","Mon Apr 14 14:38:01 GMT 2025","","test_dates","",""
"Test formatting the 'mmm_yy' column to 'dd-MM-yyyy' format.","181","test_format_mmm_yy_column","","Mon Apr 14 14:38:02 GMT 2025","passed","Mon Apr 14 14:38:02 GMT 2025","","test_dates","",""
"Test cleaning the CUSTOMER_ID column.","2319","test_clean_customer_id","","Mon Apr 14 14:37:52 GMT 2025","passed","Mon Apr 14 14:37:54 GMT 2025","","test_customer_targets","",""
"Test handling of PRODUCT_ID with completely non-numeric content.","121","test_clean_product_id_with_invalid_format","","Mon Apr 14 14:38:06 GMT 2025","passed","Mon Apr 14 14:38:06 GMT 2025","","test_order_lines","",""
