"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test the full data cleaning pipeline with actual data format.","442","test_clean_order_fulfillment_data","","Wed Mar 12 07:13:24 GMT 2025","passed","Wed Mar 12 07:13:24 GMT 2025","","test_order_fulfillment","",""
"Test that columns are renamed correctly to lowercase and 'on.time' becomes 'on_time'.","3430","test_rename_columns","","Wed Mar 12 07:13:19 GMT 2025","passed","Wed Mar 12 07:13:22 GMT 2025","","test_order_fulfillment","",""
"Test that metrics are correctly transformed according to the rules.","245","test_transform_metrics[input_data0-expected_output0]","","Wed Mar 12 07:13:23 GMT 2025","passed","Wed Mar 12 07:13:23 GMT 2025","","test_order_fulfillment","",""
"Test that rows with invalid order_id values are correctly filtered out.","395","test_filter_invalid_order_ids","","Wed Mar 12 07:13:22 GMT 2025","passed","Wed Mar 12 07:13:23 GMT 2025","","test_order_fulfillment","",""
"Test that rows with null values are correctly dropped.","273","test_drop_null_values","","Wed Mar 12 07:13:24 GMT 2025","passed","Wed Mar 12 07:13:24 GMT 2025","","test_order_fulfillment","",""
"Test that metrics are correctly transformed according to the rules.","213","test_transform_metrics[input_data1-expected_output1]","","Wed Mar 12 07:13:23 GMT 2025","passed","Wed Mar 12 07:13:23 GMT 2025","","test_order_fulfillment","",""
"Test that metrics are correctly transformed according to the rules.","192","test_transform_metrics[input_data2-expected_output2]","","Wed Mar 12 07:13:23 GMT 2025","passed","Wed Mar 12 07:13:23 GMT 2025","","test_order_fulfillment","",""
"Test that metrics are correctly transformed according to the rules.","188","test_transform_metrics[input_data3-expected_output3]","","Wed Mar 12 07:13:23 GMT 2025","passed","Wed Mar 12 07:13:24 GMT 2025","","test_order_fulfillment","",""
"Test that order_id is correctly cleaned when it contains text values.","226","test_clean_order_id_with_text_values","","Wed Mar 12 07:13:22 GMT 2025","passed","Wed Mar 12 07:13:22 GMT 2025","","test_order_fulfillment","",""
