"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test cleaning special characters.","162","test_clean_special_characters","","Mon Apr 14 13:28:40 GMT 2025","passed","Mon Apr 14 13:28:40 GMT 2025","","test_products","",""
"Test that derived columns are correctly added.","137","test_add_derived_columns","","Mon Apr 14 13:28:36 GMT 2025","passed","Mon Apr 14 13:28:36 GMT 2025","","test_order_lines","",""
"Test loading dates data.","20","test_load_dates_data","","Mon Apr 14 13:28:33 GMT 2025","passed","Mon Apr 14 13:28:33 GMT 2025","","test_dates","",""
"Test cleaning the CUSTOMER_ID column.","2152","test_clean_customer_id","","Mon Apr 14 13:28:24 GMT 2025","passed","Mon Apr 14 13:28:27 GMT 2025","","test_customer_targets","",""
"Test that duplicate rows are dropped correctly.","211","test_drop_duplicates","","Mon Apr 14 13:28:29 GMT 2025","passed","Mon Apr 14 13:28:29 GMT 2025","","test_customers","",""
"Test that rows with unwanted values are filtered out.","329","test_filter_unwanted_values","","Mon Apr 14 13:28:35 GMT 2025","passed","Mon Apr 14 13:28:35 GMT 2025","","test_order_lines","",""
"Integration test for the entire data cleaning pipeline.","912","test_clean_customer_data_integration","","Mon Apr 14 13:28:30 GMT 2025","passed","Mon Apr 14 13:28:31 GMT 2025","","test_customers","",""
"Test dropping rows with null 'week_no' values.","126","test_drop_invalid_rows","","Mon Apr 14 13:28:34 GMT 2025","passed","Mon Apr 14 13:28:34 GMT 2025","","test_dates","",""
"Test dropping rows with invalid values.","326","test_drop_invalid_rows","","Mon Apr 14 13:28:27 GMT 2025","passed","Mon Apr 14 13:28:27 GMT 2025","","test_customer_targets","",""
"Test that load_orders_data correctly loads CSV data with the specified schema.","136","test_load_orders_data","","Mon Apr 14 13:28:36 GMT 2025","passed","Mon Apr 14 13:28:37 GMT 2025","","test_orders","",""
"Test cleaning special characters from the 'date' and 'mmm_yy' columns.","289","test_clean_special_characters","","Mon Apr 14 13:28:33 GMT 2025","passed","Mon Apr 14 13:28:33 GMT 2025","","test_dates","",""
"Test cleaning and transforming customer targets data.","597","test_clean_customer_targets_data","","Mon Apr 14 13:28:27 GMT 2025","passed","Mon Apr 14 13:28:28 GMT 2025","","test_customer_targets","",""
"Test normalizing column names.","238","test_normalize_column_names","","Mon Apr 14 13:28:39 GMT 2025","passed","Mon Apr 14 13:28:40 GMT 2025","","test_products","",""
"Test that all column names are converted to lowercase.","30","test_rename_columns_to_lowercase","","Mon Apr 14 13:28:30 GMT 2025","passed","Mon Apr 14 13:28:30 GMT 2025","","test_customers","",""
"Test that duplicate rows are properly removed.","274","test_clean_orders_data_drop_duplicates","","Mon Apr 14 13:28:39 GMT 2025","passed","Mon Apr 14 13:28:39 GMT 2025","","test_orders","",""
"Test that load_customers_data correctly loads CSV data with the specified schema.","714","test_load_customers_data","","Mon Apr 14 13:28:28 GMT 2025","passed","Mon Apr 14 13:28:29 GMT 2025","","test_customers","",""
"Test handling of PRODUCT_ID with completely non-numeric content.","129","test_clean_product_id_with_invalid_format","","Mon Apr 14 13:28:36 GMT 2025","passed","Mon Apr 14 13:28:36 GMT 2025","","test_order_lines","",""
"Test add_derived_columns with null dates.","125","test_add_derived_columns_with_null_dates","","Mon Apr 14 13:28:36 GMT 2025","passed","Mon Apr 14 13:28:36 GMT 2025","","test_order_lines","",""
"Test that invalid customer IDs are filtered out.","286","test_clean_customer_id_invalid_ids","","Mon Apr 14 13:28:30 GMT 2025","passed","Mon Apr 14 13:28:30 GMT 2025","","test_customers","",""
"Test cleaning null and empty values.","175","test_clean_nulls_and_empty_values","","Mon Apr 14 13:28:40 GMT 2025","passed","Mon Apr 14 13:28:40 GMT 2025","","test_products","",""
"Test converting product_id.","218","test_convert_product_id","","Mon Apr 14 13:28:40 GMT 2025","passed","Mon Apr 14 13:28:40 GMT 2025","","test_products","",""
"Test handling of empty strings in clean_string_columns.","147","test_clean_string_columns_empty_strings","","Mon Apr 14 13:28:33 GMT 2025","passed","Mon Apr 14 13:28:33 GMT 2025","","test_customers","",""
"Test filtering out rows with null or unwanted values.","182","test_filter_unwanted_values","","Mon Apr 14 13:28:33 GMT 2025","passed","Mon Apr 14 13:28:33 GMT 2025","","test_dates","",""
"Test that string columns are properly trimmed of whitespace.","138","test_trim_string_columns","","Mon Apr 14 13:28:29 GMT 2025","passed","Mon Apr 14 13:28:30 GMT 2025","","test_customers","",""
"Test replacing negative values in target columns with None.","314","test_handle_negative_values","","Mon Apr 14 13:28:27 GMT 2025","passed","Mon Apr 14 13:28:27 GMT 2025","","test_customer_targets","",""
"Test formatting the 'date' column to 'dd-MM-yyyy' format.","218","test_format_date_column","","Mon Apr 14 13:28:33 GMT 2025","passed","Mon Apr 14 13:28:34 GMT 2025","","test_dates","",""
"Test renaming columns to lowercase and replacing special characters.","26","test_rename_and_lowercase_columns","","Mon Apr 14 13:28:33 GMT 2025","passed","Mon Apr 14 13:28:33 GMT 2025","","test_dates","",""
"Test cleaning the 'week_no' column by removing 'W' and casting to integer.","169","test_clean_week_no_column","","Mon Apr 14 13:28:34 GMT 2025","passed","Mon Apr 14 13:28:34 GMT 2025","","test_dates","",""
"Test that ORDER_QTY and DELIVERY_QTY are properly cleaned.","123","test_clean_order_qty_and_delivery_qty","","Mon Apr 14 13:28:35 GMT 2025","passed","Mon Apr 14 13:28:35 GMT 2025","","test_order_lines","",""
