"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that rows with null values are dropped.","309","test_drop_null_values","","Mon Apr 14 10:22:57 GMT 2025","passed","Mon Apr 14 10:22:58 GMT 2025","","test_order_lines","",""
"Test add_derived_columns with null dates.","136","test_add_derived_columns_with_null_dates","","Mon Apr 14 10:23:01 GMT 2025","passed","Mon Apr 14 10:23:01 GMT 2025","","test_order_lines","",""
"Test handling of empty strings in ORDER_ID.","138","test_clean_order_id_empty_string","","Mon Apr 14 10:23:00 GMT 2025","passed","Mon Apr 14 10:23:01 GMT 2025","","test_order_lines","",""
"Test handling of PRODUCT_ID with completely non-numeric content.","129","test_clean_product_id_with_invalid_format","","Mon Apr 14 10:23:01 GMT 2025","passed","Mon Apr 14 10:23:01 GMT 2025","","test_order_lines","",""
"Test that load_order_lines_data correctly loads CSV data with the specified schema.","3005","test_load_order_lines_data","","Mon Apr 14 10:22:49 GMT 2025","passed","Mon Apr 14 10:22:52 GMT 2025","","test_order_lines","",""
"Test that column names are converted to lowercase.","26","test_convert_column_names_to_lowercase","","Mon Apr 14 10:22:58 GMT 2025","passed","Mon Apr 14 10:22:58 GMT 2025","","test_order_lines","",""
"Integration test for the entire data cleaning pipeline.","389","test_clean_order_lines_data_integration","","Mon Apr 14 10:23:00 GMT 2025","broken","Mon Apr 14 10:23:00 GMT 2025","","test_order_lines","",""
"Test that rows with invalid quantities are filtered out.","354","test_filter_invalid_quantities","","Mon Apr 14 10:22:53 GMT 2025","passed","Mon Apr 14 10:22:53 GMT 2025","","test_order_lines","",""
"Test that AGREED_DELIVERY_DATE is properly cleaned and parsed.","155","test_clean_agreed_delivery_date","","Mon Apr 14 10:22:55 GMT 2025","broken","Mon Apr 14 10:22:55 GMT 2025","","test_order_lines","",""
"Test that ACTUAL_DELIVERY_DATE is properly cleaned and parsed.","157","test_clean_actual_delivery_date","","Mon Apr 14 10:22:56 GMT 2025","broken","Mon Apr 14 10:22:57 GMT 2025","","test_order_lines","",""
"Test that rows with unwanted values are filtered out.","500","test_filter_unwanted_values","","Mon Apr 14 10:22:57 GMT 2025","passed","Mon Apr 14 10:22:57 GMT 2025","","test_order_lines","",""
"Test that derived columns are correctly added.","216","test_add_derived_columns","","Mon Apr 14 10:22:58 GMT 2025","passed","Mon Apr 14 10:22:58 GMT 2025","","test_order_lines","",""
"Test filter_invalid_quantities with null values in quantities.","242","test_filter_invalid_quantities_with_null_values","","Mon Apr 14 10:23:01 GMT 2025","passed","Mon Apr 14 10:23:01 GMT 2025","","test_order_lines","",""
"Test that ORDER_QTY and DELIVERY_QTY are properly cleaned.","1106","test_clean_order_qty_and_delivery_qty","","Mon Apr 14 10:22:52 GMT 2025","passed","Mon Apr 14 10:22:53 GMT 2025","","test_order_lines","",""
