"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that ORDER_QTY and DELIVERY_QTY are properly cleaned.","132","test_clean_order_qty_and_delivery_qty","","Mon Apr 14 12:58:47 GMT 2025","passed","Mon Apr 14 12:58:47 GMT 2025","","test_order_lines","",""
"Test cleaning the CUSTOMER_ID column.","2187","test_clean_customer_id","","Mon Apr 14 12:58:35 GMT 2025","passed","Mon Apr 14 12:58:37 GMT 2025","","test_customer_targets","",""
"Test that metrics are correctly transformed according to the rules.","190","test_transform_metrics[input_data0-expected_output0]","","Mon Apr 14 12:58:46 GMT 2025","passed","Mon Apr 14 12:58:46 GMT 2025","","test_order_fulfillment","",""
"Test cleaning special characters.","162","test_clean_special_characters","","Mon Apr 14 12:58:58 GMT 2025","passed","Mon Apr 14 12:58:58 GMT 2025","","test_products","",""
"Test that rows with null values are properly removed.","358","test_clean_orders_data_drop_nulls","","Mon Apr 14 12:58:57 GMT 2025","passed","Mon Apr 14 12:58:57 GMT 2025","","test_orders","",""
"Test that rows with invalid order_id values are correctly filtered out.","281","test_filter_invalid_order_ids","","Mon Apr 14 12:58:45 GMT 2025","passed","Mon Apr 14 12:58:46 GMT 2025","","test_order_fulfillment","",""
"Integration test for the entire data cleaning pipeline.","320","test_clean_order_lines_data_integration","","Mon Apr 14 12:58:53 GMT 2025","broken","Mon Apr 14 12:58:53 GMT 2025","","test_order_lines","",""
"Test that ACTUAL_DELIVERY_DATE is properly cleaned and parsed.","140","test_clean_actual_delivery_date","","Mon Apr 14 12:58:50 GMT 2025","broken","Mon Apr 14 12:58:50 GMT 2025","","test_order_lines","",""
"Test that AGREED_DELIVERY_DATE is properly cleaned and parsed.","139","test_clean_agreed_delivery_date","","Mon Apr 14 12:58:49 GMT 2025","broken","Mon Apr 14 12:58:49 GMT 2025","","test_order_lines","",""
"Test cleaning and transforming customer targets data.","602","test_clean_customer_targets_data","","Mon Apr 14 12:58:38 GMT 2025","passed","Mon Apr 14 12:58:38 GMT 2025","","test_customer_targets","",""
"Test that load_orders_data correctly loads CSV data with the specified schema.","128","test_load_orders_data","","Mon Apr 14 12:58:54 GMT 2025","passed","Mon Apr 14 12:58:54 GMT 2025","","test_orders","",""
"Test cleaning and transforming dates data.","402","test_clean_dates_data","","Mon Apr 14 12:58:44 GMT 2025","passed","Mon Apr 14 12:58:45 GMT 2025","","test_dates","",""
"Test handling of empty strings in clean_string_columns.","144","test_clean_string_columns_empty_strings","","Mon Apr 14 12:58:43 GMT 2025","passed","Mon Apr 14 12:58:43 GMT 2025","","test_customers","",""
"Test replacing negative values in target columns with None.","355","test_handle_negative_values","","Mon Apr 14 12:58:37 GMT 2025","passed","Mon Apr 14 12:58:37 GMT 2025","","test_customer_targets","",""
"Test that rows with null values are dropped.","214","test_drop_null_values","","Mon Apr 14 12:58:51 GMT 2025","passed","Mon Apr 14 12:58:51 GMT 2025","","test_order_lines","",""
"Test that null values are dropped correctly.","676","test_drop_na_values","","Mon Apr 14 12:58:39 GMT 2025","passed","Mon Apr 14 12:58:39 GMT 2025","","test_customers","",""
"Test loading customer targets data.","1417","test_load_customer_targets_data","","Mon Apr 14 12:58:33 GMT 2025","passed","Mon Apr 14 12:58:35 GMT 2025","","test_customer_targets","",""
"Test that duplicate rows are dropped correctly.","229","test_drop_duplicates","","Mon Apr 14 12:58:39 GMT 2025","passed","Mon Apr 14 12:58:40 GMT 2025","","test_customers","",""
"Test that customer_id is properly cleaned and converted to integer.","878","test_clean_orders_data_customer_id_cleaning","","Mon Apr 14 12:58:55 GMT 2025","passed","Mon Apr 14 12:58:56 GMT 2025","","test_orders","",""
"Test converting product_id.","206","test_convert_product_id","","Mon Apr 14 12:58:58 GMT 2025","passed","Mon Apr 14 12:58:58 GMT 2025","","test_products","",""
"Test filtering valid products.","166","test_filter_valid_products","","Mon Apr 14 12:58:58 GMT 2025","passed","Mon Apr 14 12:58:58 GMT 2025","","test_products","",""
"Test the complete cleaning process.","145","test_clean_products_data","","Mon Apr 14 12:58:58 GMT 2025","passed","Mon Apr 14 12:58:58 GMT 2025","","test_products","",""
"Test that order_placement_date is properly cleaned and standardized.","554","test_clean_orders_data_date_cleaning","","Mon Apr 14 12:58:56 GMT 2025","passed","Mon Apr 14 12:58:57 GMT 2025","","test_orders","",""
"Test dropping rows with invalid values.","323","test_drop_invalid_rows","","Mon Apr 14 12:58:37 GMT 2025","passed","Mon Apr 14 12:58:37 GMT 2025","","test_customer_targets","",""
"Test dropping rows with null 'week_no' values.","136","test_drop_invalid_rows","","Mon Apr 14 12:58:44 GMT 2025","passed","Mon Apr 14 12:58:44 GMT 2025","","test_dates","",""
"Integration test for the entire data cleaning pipeline.","1003","test_clean_customer_data_integration","","Mon Apr 14 12:58:41 GMT 2025","passed","Mon Apr 14 12:58:42 GMT 2025","","test_customers","",""
"Test that load_customers_data correctly loads CSV data with the specified schema.","568","test_load_customers_data","","Mon Apr 14 12:58:38 GMT 2025","passed","Mon Apr 14 12:58:39 GMT 2025","","test_customers","",""
"Test that string columns are properly trimmed of whitespace.","153","test_trim_string_columns","","Mon Apr 14 12:58:40 GMT 2025","passed","Mon Apr 14 12:58:40 GMT 2025","","test_customers","",""
"Test that rows with null values are correctly dropped.","217","test_drop_null_values","","Mon Apr 14 12:58:46 GMT 2025","passed","Mon Apr 14 12:58:46 GMT 2025","","test_order_fulfillment","",""
"Test formatting the 'date' column to 'dd-MM-yyyy' format.","229","test_format_date_column","","Mon Apr 14 12:58:44 GMT 2025","passed","Mon Apr 14 12:58:44 GMT 2025","","test_dates","",""
