"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that load_order_lines_data correctly loads CSV data with the specified schema.","3076","test_load_order_lines_data","","Wed Mar 12 08:41:10 GMT 2025","passed","Wed Mar 12 08:41:13 GMT 2025","","test_order_lines","",""
"Test that ORDER_QTY and DELIVERY_QTY are properly cleaned.","197","test_clean_order_qty_and_delivery_qty","","Wed Mar 12 08:41:15 GMT 2025","passed","Wed Mar 12 08:41:16 GMT 2025","","test_order_lines","",""
"Test add_derived_columns with null dates.","142","test_add_derived_columns_with_null_dates","","Wed Mar 12 08:41:19 GMT 2025","passed","Wed Mar 12 08:41:19 GMT 2025","","test_order_lines","",""
"Test that ORDER_ID and PRODUCT_ID are properly cleaned.","291","test_clean_order_id_and_product_id","","Wed Mar 12 08:41:15 GMT 2025","failed","Wed Mar 12 08:41:15 GMT 2025","","test_order_lines","",""
"Test handling of PRODUCT_ID with completely non-numeric content.","134","test_clean_product_id_with_invalid_format","","Wed Mar 12 08:41:19 GMT 2025","passed","Wed Mar 12 08:41:19 GMT 2025","","test_order_lines","",""
"Test that AGREED_DELIVERY_DATE is properly cleaned and parsed.","220","test_clean_agreed_delivery_date","","Wed Mar 12 08:41:16 GMT 2025","passed","Wed Mar 12 08:41:16 GMT 2025","","test_order_lines","",""
"Test that derived columns are correctly added.","188","test_add_derived_columns","","Wed Mar 12 08:41:17 GMT 2025","passed","Wed Mar 12 08:41:17 GMT 2025","","test_order_lines","",""
"Test filter_invalid_quantities with null values in quantities.","247","test_filter_invalid_quantities_with_null_values","","Wed Mar 12 08:41:19 GMT 2025","passed","Wed Mar 12 08:41:19 GMT 2025","","test_order_lines","",""
"Test that rows with invalid quantities are filtered out.","345","test_filter_invalid_quantities","","Wed Mar 12 08:41:16 GMT 2025","passed","Wed Mar 12 08:41:16 GMT 2025","","test_order_lines","",""
"Test that rows with unwanted values are filtered out.","437","test_filter_unwanted_values","","Wed Mar 12 08:41:16 GMT 2025","passed","Wed Mar 12 08:41:17 GMT 2025","","test_order_lines","",""
"Test handling of empty strings in ORDER_ID.","153","test_clean_order_id_empty_string","","Wed Mar 12 08:41:19 GMT 2025","passed","Wed Mar 12 08:41:19 GMT 2025","","test_order_lines","",""
"Test that column names are converted to lowercase.","25","test_convert_column_names_to_lowercase","","Wed Mar 12 08:41:17 GMT 2025","passed","Wed Mar 12 08:41:17 GMT 2025","","test_order_lines","",""
"Test that rows with null values are dropped.","332","test_drop_null_values","","Wed Mar 12 08:41:17 GMT 2025","passed","Wed Mar 12 08:41:17 GMT 2025","","test_order_lines","",""
"Test that ACTUAL_DELIVERY_DATE is properly cleaned and parsed.","164","test_clean_actual_delivery_date","","Wed Mar 12 08:41:16 GMT 2025","passed","Wed Mar 12 08:41:16 GMT 2025","","test_order_lines","",""
"Integration test for the entire data cleaning pipeline.","1208","test_clean_order_lines_data_integration","","Wed Mar 12 08:41:17 GMT 2025","passed","Wed Mar 12 08:41:19 GMT 2025","","test_order_lines","",""
