"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test that null values are dropped correctly.","663","test_drop_na_values","","Mon Apr 14 13:36:34 GMT 2025","passed","Mon Apr 14 13:36:34 GMT 2025","","test_customers","",""
"Test replacing negative values in target columns with None.","353","test_handle_negative_values","","Mon Apr 14 13:36:32 GMT 2025","passed","Mon Apr 14 13:36:32 GMT 2025","","test_customer_targets","",""
"Test cleaning null and empty values.","181","test_clean_nulls_and_empty_values","","Mon Apr 14 13:36:45 GMT 2025","passed","Mon Apr 14 13:36:45 GMT 2025","","test_products","",""
"Test cleaning the 'week_no' column by removing 'W' and casting to integer.","203","test_clean_week_no_column","","Mon Apr 14 13:36:39 GMT 2025","passed","Mon Apr 14 13:36:39 GMT 2025","","test_dates","",""
"Test filtering of unwanted values.","565","test_clean_orders_data_unwanted_values","","Mon Apr 14 13:36:42 GMT 2025","passed","Mon Apr 14 13:36:43 GMT 2025","","test_orders","",""
"Test that rows with null values are properly removed.","413","test_clean_orders_data_drop_nulls","","Mon Apr 14 13:36:44 GMT 2025","passed","Mon Apr 14 13:36:45 GMT 2025","","test_orders","",""
"Test that load_customers_data correctly loads CSV data with the specified schema.","624","test_load_customers_data","","Mon Apr 14 13:36:33 GMT 2025","passed","Mon Apr 14 13:36:34 GMT 2025","","test_customers","",""
"Test that data is correctly written to the specified path.","1492","test_write_transformed_data","","Mon Apr 14 13:36:36 GMT 2025","passed","Mon Apr 14 13:36:38 GMT 2025","","test_customers","",""
"Test that load_order_lines_data correctly loads CSV data with the specified schema.","187","test_load_order_lines_data","","Mon Apr 14 13:36:40 GMT 2025","passed","Mon Apr 14 13:36:40 GMT 2025","","test_order_lines","",""
"Test cleaning and transforming dates data.","405","test_clean_dates_data","","Mon Apr 14 13:36:39 GMT 2025","passed","Mon Apr 14 13:36:40 GMT 2025","","test_dates","",""
"Test that rows with unwanted values are filtered out.","321","test_filter_unwanted_values","","Mon Apr 14 13:36:40 GMT 2025","passed","Mon Apr 14 13:36:41 GMT 2025","","test_order_lines","",""
"Test that duplicate rows are dropped correctly.","223","test_drop_duplicates","","Mon Apr 14 13:36:34 GMT 2025","passed","Mon Apr 14 13:36:35 GMT 2025","","test_customers","",""
"Test filtering out rows with null or unwanted values.","193","test_filter_unwanted_values","","Mon Apr 14 13:36:38 GMT 2025","passed","Mon Apr 14 13:36:39 GMT 2025","","test_dates","",""
"Test formatting the 'date' column to 'dd-MM-yyyy' format.","196","test_format_date_column","","Mon Apr 14 13:36:39 GMT 2025","passed","Mon Apr 14 13:36:39 GMT 2025","","test_dates","",""
"Test normalizing column names.","230","test_normalize_column_names","","Mon Apr 14 13:36:45 GMT 2025","passed","Mon Apr 14 13:36:45 GMT 2025","","test_products","",""
"Test that customer_id is properly cleaned and converted to integer.","895","test_clean_orders_data_customer_id_cleaning","","Mon Apr 14 13:36:43 GMT 2025","passed","Mon Apr 14 13:36:43 GMT 2025","","test_orders","",""
"Test cleaning special characters from the 'date' and 'mmm_yy' columns.","297","test_clean_special_characters","","Mon Apr 14 13:36:38 GMT 2025","passed","Mon Apr 14 13:36:38 GMT 2025","","test_dates","",""
"Test that order_placement_date is properly cleaned and standardized.","600","test_clean_orders_data_date_cleaning","","Mon Apr 14 13:36:43 GMT 2025","passed","Mon Apr 14 13:36:44 GMT 2025","","test_orders","",""
"Test formatting the 'mmm_yy' column to 'dd-MM-yyyy' format.","167","test_format_mmm_yy_column","","Mon Apr 14 13:36:39 GMT 2025","passed","Mon Apr 14 13:36:39 GMT 2025","","test_dates","",""
"Test converting product_id.","246","test_convert_product_id","","Mon Apr 14 13:36:45 GMT 2025","passed","Mon Apr 14 13:36:45 GMT 2025","","test_products","",""
"Test that derived columns are correctly added.","140","test_add_derived_columns","","Mon Apr 14 13:36:41 GMT 2025","passed","Mon Apr 14 13:36:41 GMT 2025","","test_order_lines","",""
"Test add_derived_columns with null dates.","119","test_add_derived_columns_with_null_dates","","Mon Apr 14 13:36:42 GMT 2025","passed","Mon Apr 14 13:36:42 GMT 2025","","test_order_lines","",""
"Test that rows with invalid quantities are filtered out.","243","test_filter_invalid_quantities","","Mon Apr 14 13:36:40 GMT 2025","passed","Mon Apr 14 13:36:40 GMT 2025","","test_order_lines","",""
"Test filtering valid products.","194","test_filter_valid_products","","Mon Apr 14 13:36:46 GMT 2025","passed","Mon Apr 14 13:36:46 GMT 2025","","test_products","",""
"Test that duplicate rows are properly removed.","278","test_clean_orders_data_drop_duplicates","","Mon Apr 14 13:36:44 GMT 2025","passed","Mon Apr 14 13:36:44 GMT 2025","","test_orders","",""
"Test dropping rows with invalid values.","337","test_drop_invalid_rows","","Mon Apr 14 13:36:32 GMT 2025","passed","Mon Apr 14 13:36:32 GMT 2025","","test_customer_targets","",""
"Test that all column names are converted to lowercase.","30","test_rename_columns_to_lowercase","","Mon Apr 14 13:36:35 GMT 2025","passed","Mon Apr 14 13:36:35 GMT 2025","","test_customers","",""
"Test handling of PRODUCT_ID with completely non-numeric content.","155","test_clean_product_id_with_invalid_format","","Mon Apr 14 13:36:41 GMT 2025","passed","Mon Apr 14 13:36:41 GMT 2025","","test_order_lines","",""
"Test loading customer targets data.","1354","test_load_customer_targets_data","","Mon Apr 14 13:36:28 GMT 2025","passed","Mon Apr 14 13:36:29 GMT 2025","","test_customer_targets","",""
"Test that invalid customer IDs are filtered out.","286","test_clean_customer_id_invalid_ids","","Mon Apr 14 13:36:35 GMT 2025","passed","Mon Apr 14 13:36:35 GMT 2025","","test_customers","",""
"Test that column names are converted to lowercase.","22","test_convert_column_names_to_lowercase","","Mon Apr 14 13:36:41 GMT 2025","passed","Mon Apr 14 13:36:41 GMT 2025","","test_order_lines","",""
"Test renaming columns to lowercase and replacing special characters.","30","test_rename_and_lowercase_columns","","Mon Apr 14 13:36:38 GMT 2025","passed","Mon Apr 14 13:36:38 GMT 2025","","test_dates","",""
"Test that columns are properly renamed.","124","test_clean_orders_data_column_renaming","","Mon Apr 14 13:36:42 GMT 2025","passed","Mon Apr 14 13:36:42 GMT 2025","","test_orders","",""
"Test handling of empty strings in clean_string_columns.","135","test_clean_string_columns_empty_strings","","Mon Apr 14 13:36:38 GMT 2025","passed","Mon Apr 14 13:36:38 GMT 2025","","test_customers","",""
"Test the complete cleaning process.","157","test_clean_products_data","","Mon Apr 14 13:36:46 GMT 2025","passed","Mon Apr 14 13:36:46 GMT 2025","","test_products","",""
"Test that ORDER_QTY and DELIVERY_QTY are properly cleaned.","135","test_clean_order_qty_and_delivery_qty","","Mon Apr 14 13:36:40 GMT 2025","passed","Mon Apr 14 13:36:40 GMT 2025","","test_order_lines","",""
"Test handling of empty strings in ORDER_ID.","141","test_clean_order_id_empty_string","","Mon Apr 14 13:36:41 GMT 2025","passed","Mon Apr 14 13:36:41 GMT 2025","","test_order_lines","",""
"Test cleaning special characters.","164","test_clean_special_characters","","Mon Apr 14 13:36:46 GMT 2025","passed","Mon Apr 14 13:36:46 GMT 2025","","test_products","",""
"Test cleaning the CUSTOMER_ID column.","2202","test_clean_customer_id","","Mon Apr 14 13:36:29 GMT 2025","passed","Mon Apr 14 13:36:32 GMT 2025","","test_customer_targets","",""
"Test loading dates data.","24","test_load_dates_data","","Mon Apr 14 13:36:38 GMT 2025","passed","Mon Apr 14 13:36:38 GMT 2025","","test_dates","",""
"Test renaming columns to lowercase.","44","test_rename_columns_to_lowercase","","Mon Apr 14 13:36:32 GMT 2025","passed","Mon Apr 14 13:36:32 GMT 2025","","test_customer_targets","",""
"Integration test for the entire data cleaning pipeline.","944","test_clean_customer_data_integration","","Mon Apr 14 13:36:35 GMT 2025","passed","Mon Apr 14 13:36:36 GMT 2025","","test_customers","",""
"Test that string columns are properly trimmed of whitespace.","143","test_trim_string_columns","","Mon Apr 14 13:36:35 GMT 2025","passed","Mon Apr 14 13:36:35 GMT 2025","","test_customers","",""
"Test that load_orders_data correctly loads CSV data with the specified schema.","147","test_load_orders_data","","Mon Apr 14 13:36:42 GMT 2025","passed","Mon Apr 14 13:36:42 GMT 2025","","test_orders","",""
"Test cleaning and transforming customer targets data.","625","test_clean_customer_targets_data","","Mon Apr 14 13:36:32 GMT 2025","passed","Mon Apr 14 13:36:33 GMT 2025","","test_customer_targets","",""
"Test dropping rows with null 'week_no' values.","136","test_drop_invalid_rows","","Mon Apr 14 13:36:39 GMT 2025","passed","Mon Apr 14 13:36:39 GMT 2025","","test_dates","",""
"Test that rows with null values are dropped.","261","test_drop_null_values","","Mon Apr 14 13:36:41 GMT 2025","passed","Mon Apr 14 13:36:41 GMT 2025","","test_order_lines","",""
"Test filter_invalid_quantities with null values in quantities.","215","test_filter_invalid_quantities_with_null_values","","Mon Apr 14 13:36:41 GMT 2025","passed","Mon Apr 14 13:36:42 GMT 2025","","test_order_lines","",""
"Test that valid customer IDs are properly handled.","338","test_clean_customer_id_valid_ids","","Mon Apr 14 13:36:35 GMT 2025","passed","Mon Apr 14 13:36:35 GMT 2025","","test_customers","",""
