"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test replacing negative values in target columns with None.","392","test_handle_negative_values","","Mon Apr 14 14:03:34 GMT 2025","passed","Mon Apr 14 14:03:34 GMT 2025","","test_customer_targets","",""
"Test that derived columns are correctly added.","160","test_add_derived_columns","","Mon Apr 14 14:03:46 GMT 2025","passed","Mon Apr 14 14:03:46 GMT 2025","","test_order_lines","",""
"Test cleaning and transforming dates data.","404","test_clean_dates_data","","Mon Apr 14 14:03:42 GMT 2025","passed","Mon Apr 14 14:03:42 GMT 2025","","test_dates","",""
"Test that metrics are correctly transformed according to the rules.","173","test_transform_metrics[input_data1-expected_output1]","","Mon Apr 14 14:03:43 GMT 2025","passed","Mon Apr 14 14:03:43 GMT 2025","","test_order_fulfillment","",""
"Test loading dates data.","19","test_load_dates_data","","Mon Apr 14 14:03:41 GMT 2025","passed","Mon Apr 14 14:03:41 GMT 2025","","test_dates","",""
"Test that customer_id is properly cleaned and converted to integer.","917","test_clean_orders_data_customer_id_cleaning","","Mon Apr 14 14:03:47 GMT 2025","passed","Mon Apr 14 14:03:48 GMT 2025","","test_orders","",""
"Test filter_invalid_quantities with null values in quantities.","217","test_filter_invalid_quantities_with_null_values","","Mon Apr 14 14:03:46 GMT 2025","passed","Mon Apr 14 14:03:46 GMT 2025","","test_order_lines","",""
"Test renaming columns to lowercase and replacing special characters.","26","test_rename_and_lowercase_columns","","Mon Apr 14 14:03:41 GMT 2025","passed","Mon Apr 14 14:03:41 GMT 2025","","test_dates","",""
"Test cleaning the 'week_no' column by removing 'W' and casting to integer.","141","test_clean_week_no_column","","Mon Apr 14 14:03:42 GMT 2025","passed","Mon Apr 14 14:03:42 GMT 2025","","test_dates","",""
"Test cleaning special characters.","159","test_clean_special_characters","","Mon Apr 14 14:03:50 GMT 2025","passed","Mon Apr 14 14:03:50 GMT 2025","","test_products","",""
"Test that duplicate rows are properly removed.","255","test_clean_orders_data_drop_duplicates","","Mon Apr 14 14:03:49 GMT 2025","passed","Mon Apr 14 14:03:49 GMT 2025","","test_orders","",""
"Test cleaning and transforming customer targets data.","740","test_clean_customer_targets_data","","Mon Apr 14 14:03:34 GMT 2025","passed","Mon Apr 14 14:03:35 GMT 2025","","test_customer_targets","",""
"Test cleaning the CUSTOMER_ID column.","2347","test_clean_customer_id","","Mon Apr 14 14:03:31 GMT 2025","passed","Mon Apr 14 14:03:34 GMT 2025","","test_customer_targets","",""
"Test that metrics are correctly transformed according to the rules.","141","test_transform_metrics[input_data3-expected_output3]","","Mon Apr 14 14:03:44 GMT 2025","passed","Mon Apr 14 14:03:44 GMT 2025","","test_order_fulfillment","",""
"Test that order_id is correctly cleaned when it contains text values.","143","test_clean_order_id_with_text_values","","Mon Apr 14 14:03:43 GMT 2025","passed","Mon Apr 14 14:03:43 GMT 2025","","test_order_fulfillment","",""
