"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test filtering of unwanted values.","627","test_clean_orders_data_unwanted_values","","Mon Apr 14 14:33:10 GMT 2025","passed","Mon Apr 14 14:33:11 GMT 2025","","test_orders","",""
"Test that null values are dropped correctly.","683","test_drop_na_values","","Mon Apr 14 14:33:02 GMT 2025","passed","Mon Apr 14 14:33:03 GMT 2025","","test_customers","",""
"Test that load_customers_data correctly loads CSV data with the specified schema.","603","test_load_customers_data","","Mon Apr 14 14:33:01 GMT 2025","passed","Mon Apr 14 14:33:02 GMT 2025","","test_customers","",""
"Test that load_orders_data correctly loads CSV data with the specified schema.","117","test_load_orders_data","","Mon Apr 14 14:33:10 GMT 2025","passed","Mon Apr 14 14:33:10 GMT 2025","","test_orders","",""
"Test that load_order_lines_data correctly loads CSV data with the specified schema.","195","test_load_order_lines_data","","Mon Apr 14 14:33:08 GMT 2025","passed","Mon Apr 14 14:33:08 GMT 2025","","test_order_lines","",""
"Test that columns are properly renamed.","118","test_clean_orders_data_column_renaming","","Mon Apr 14 14:33:10 GMT 2025","passed","Mon Apr 14 14:33:10 GMT 2025","","test_orders","",""
"Test handling of empty strings in ORDER_ID.","128","test_clean_order_id_empty_string","","Mon Apr 14 14:33:10 GMT 2025","passed","Mon Apr 14 14:33:10 GMT 2025","","test_order_lines","",""
"Test that data is correctly written to the specified path.","1552","test_write_transformed_data","","Mon Apr 14 14:33:05 GMT 2025","passed","Mon Apr 14 14:33:06 GMT 2025","","test_customers","",""
"Test that derived columns are correctly added.","164","test_add_derived_columns","","Mon Apr 14 14:33:09 GMT 2025","passed","Mon Apr 14 14:33:10 GMT 2025","","test_order_lines","",""
"Test that rows with null values are properly removed.","413","test_clean_orders_data_drop_nulls","","Mon Apr 14 14:33:13 GMT 2025","passed","Mon Apr 14 14:33:13 GMT 2025","","test_orders","",""
"Test cleaning and transforming customer targets data.","591","test_clean_customer_targets_data","","Mon Apr 14 14:33:01 GMT 2025","passed","Mon Apr 14 14:33:01 GMT 2025","","test_customer_targets","",""
"Integration test for the entire data cleaning pipeline.","1006","test_clean_customer_data_integration","","Mon Apr 14 14:33:04 GMT 2025","passed","Mon Apr 14 14:33:05 GMT 2025","","test_customers","",""
"Test that string columns are properly trimmed of whitespace.","148","test_trim_string_columns","","Mon Apr 14 14:33:03 GMT 2025","passed","Mon Apr 14 14:33:03 GMT 2025","","test_customers","",""
"Test loading dates data.","25","test_load_dates_data","","Mon Apr 14 14:33:06 GMT 2025","passed","Mon Apr 14 14:33:06 GMT 2025","","test_dates","",""
"Test loading customer targets data.","1293","test_load_customer_targets_data","","Mon Apr 14 14:32:56 GMT 2025","passed","Mon Apr 14 14:32:58 GMT 2025","","test_customer_targets","",""
"Test that rows with unwanted values are filtered out.","327","test_filter_unwanted_values","","Mon Apr 14 14:33:09 GMT 2025","passed","Mon Apr 14 14:33:09 GMT 2025","","test_order_lines","",""
"Test filter_invalid_quantities with null values in quantities.","198","test_filter_invalid_quantities_with_null_values","","Mon Apr 14 14:33:10 GMT 2025","passed","Mon Apr 14 14:33:10 GMT 2025","","test_order_lines","",""
"Test handling of PRODUCT_ID with completely non-numeric content.","121","test_clean_product_id_with_invalid_format","","Mon Apr 14 14:33:10 GMT 2025","passed","Mon Apr 14 14:33:10 GMT 2025","","test_order_lines","",""
"Test that invalid customer IDs are filtered out.","283","test_clean_customer_id_invalid_ids","","Mon Apr 14 14:33:03 GMT 2025","passed","Mon Apr 14 14:33:04 GMT 2025","","test_customers","",""
"Test cleaning and transforming dates data.","415","test_clean_dates_data","","Mon Apr 14 14:33:08 GMT 2025","passed","Mon Apr 14 14:33:08 GMT 2025","","test_dates","",""
"Test that order_placement_date is properly cleaned and standardized.","664","test_clean_orders_data_date_cleaning","","Mon Apr 14 14:33:12 GMT 2025","passed","Mon Apr 14 14:33:13 GMT 2025","","test_orders","",""
"Test the complete cleaning process.","154","test_clean_products_data","","Mon Apr 14 14:33:15 GMT 2025","passed","Mon Apr 14 14:33:15 GMT 2025","","test_products","",""
